what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1499663496037
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1499663503817
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1499663505388
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499663508059
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499663508733
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1499663514769
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499663523069
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499663524564
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499663530347
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499663531692
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1499663534207
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1499663534821
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1499663535565
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499663536792
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499663536807
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1499663539279
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499663540830
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499663556996
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499663561919
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499663570684
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499663571832
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499664195382
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499664197751
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499664214916
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499664219812
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499664225599
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499664226144
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499664252843
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499664276793
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499664277674
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499664283388
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499664297115
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1499664300541
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499664300587
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499664302482
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499664304314
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499664322230
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499664330123
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499664332071
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499664332343
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499664338618
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499664339107
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499664420208
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1499664421860
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499664426744
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499664450766
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1499664450846
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1499664450933
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1499664452768
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1499664453120
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499664454123
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499664478299
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499664479448
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499664491285
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499664493571
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499664494907
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499664510826
