what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1499671848151
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1499671850653
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499671852233
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499672111782
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499672112472
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499672310038
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499672312194
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499672314103
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1499672315656
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499672319340
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499672329410
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1499672329536
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1499672329667
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1499672330944
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1499672331011
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499672332176
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499672346997
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499672347396
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499672351199
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499672351928
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499672359055
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499672359989
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499672389240
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499672416051
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499672416823
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499672423454
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499672432415
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499672451655
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499672451782
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499672465767
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499672466424
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1499672473112
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1499672474285
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1499672476691
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1499672479732
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1499672505461
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1499672509109
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499672511004
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499672512174
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499672512855
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499672514541
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499672515080
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499672523280
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1499672526461
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1499672529817
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499672532542
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499672534589
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499672543033
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499672544612
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1499672544662
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499672565416
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499672567938
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1499672569876
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1499672582431
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1499672584191
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499672588667
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499672594790
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1499672595530
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1499672595766
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1499672595955
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1499672596299
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1499672596519
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1499672596717
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1499672596938
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499672605714
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499672616298
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499672632568
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499672632722
