what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1499394340087
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499394348062
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499394348179
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1499394352884
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499394360086
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499394389804
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1499394393635
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1499394402115
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1499394439307
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499394442296
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499394442432
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499394451802
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499394456044
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499394461820
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499394463389
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499394464040
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499394465977
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499394468977
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499394519948
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499394552746
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499394560951
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1499394566052
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1499394570278
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499394585251
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499394585634
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499394614271
