what,kind,bundleId,bundleVersion,description,time
java.vm.version,sysinfo,,,"25.131-b11",1499652414983
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1499652414990
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1499652416868
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1499652435961
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1499652436050
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1499652436744
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499652445093
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499652445320
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1499652447872
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1499652448769
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1499652453731
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1499652453759
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499652462006
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499652472010
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499652478266
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499652478374
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1499652490690
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1499652496208
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499652505458
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499652506293
started,bundle,org.eclipse.wb.core.lib,1.1.0.r37x201109091012,"org.eclipse.wb.core.lib",1499652515928
started,bundle,org.eclipse.wb.core,1.1.0.r37x201109091012,"org.eclipse.wb.core",1499652515959
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1499652516015
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1499652520468
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1499652524811
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1499652524916
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1499652524957
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1499652525939
started,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1499652526085
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1499652526373
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499652534820
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499652546842
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1499652547758
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1499652548195
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1499652548937
error,log,,,"Exception in Decorator. The 'Java Method Override Indicator' decorator will be disabled.",1499652548942
error,log,,,"java.lang.NullPointerException",1499652548946
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1499652554259
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499652557741
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499652557879
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.toggleOverwrite",1499652562971
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499652565804
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499652572575
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.toggleOverwrite",1499652577160
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1499652582602
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499652583192
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499652585194
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499652591552
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499652595229
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499652603518
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499652605755
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1499652617240
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499652617278
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499652618609
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1499652621591
